Assemblage_Name	8086357-2-1	1134038-3046772-1143998	8110216-3046772-6408416	6997975-4-9232770	7009006-1127183-4	4-2-1	8422999-2-324412	7930947-2-1	0-8302387-1143998	4-5299437-4	4-2-476360	983669-2-1	8086357-8005490-4345362	4275641-5389299-1	2-2-1157458	5045725-1870079-1	2-9543871-1	0-1-4617085	9438159-1870079-1	640102-7264117-6408416	8086357-5696135-1	8086357-8769943-1	5521769-1127183-4	8422999-2-1	2645079-8078878-6408416	8324178-6787587-1	1161517-2-1	7543768-9307584-3400403	640102-3046772-6408416	8177356-2-1	8110216-3046772-163823	9133753-4-1	3333724-3046772-6408416	7308052-3046772-9329608	2-2-7313010	853339-2-1	4-735115-4	5944634-1127183-4	9253819-4-0	4-3643922-4	4-7797164-4	5468747-4-5858413	7543768-9307584-3489018	8086357-2-1360713	1533923-8078878-6408416	3621231-3046772-6408416	0-1-2	3933763-4666326-6408416	2-2-4736303	2-2-9734867	2645079-3046772-6408416	8086357-2-5442422	562087-2-1	1134038-8697760-8938848	4-3643922-3919257	2-2-9719765	4-490266-4	7049264-1127183-4	0-3046772-9329608	0-44162-1143998	0-3-3	1757794-2-1	7843344-3632606-4	8819839-4-1	8086357-8005490-1	2-6784314-8848723	0-3046772-9315791	7543768-9307584-1	8086357-2-6853236	0-3046772-1684468	2-5064404-1	6310450-3-4	2-7302166-1	8110216-1425101-6408416	2-3-4	122676-3046772-4548539	4275641-8005490-1	1134038-8697760-1143998	5381777-2-1	2-2-1	0-4299669-1143998	3138807-3046772-6408416	5077074-2-1	2-3-4820606	6654605-6784314-1	5468747-4-3004412	9438159-4-1	0-3046772-7757924	4-1951183-4	4349406-2-1	1134038-8697760-7700248	3687064-6787587-2523037	9438159-4-9548715	8086357-1067986-1	0-3046772-8733354	2-3-3594892	8086357-2-698814	6563283-8697760-1143998	3933763-3046772-6408416	111603-2-1	5468747-6164418-1	1134038-1530667-1143998	2-6784314-1	2-6787587-1	9253819-4-9706974	5084035-3046772-6408416	7049883-0-4	5783318-3046772-1143998	2-9854319-1	4-7042035-4	1021450-3046772-2075943	2-8145760-9719765	4-1127183-943423	0-935270-6408416	3725202-4-0	5783318-3046772-7162533	8422999-5111416-1	5468747-4-9232770	0-3046772-7625471	0-3046772-8499060	9777642-2-9719765	5468747-4-2060997	2-3217267-4	0-3046772-6408416	4-0-4	2575898-2-1	2-2-6536176	1134038-4263487-1143998	3804316-4-1	9804581-4-1	4-1127183-4	5468747-5554764-1	2-2-4116851	0-3046772-1143998	5182552-4-9232770	5468747-5603524-1	776529-3046772-6408416	0-3046772-6547771	450507-2-1	4-1127183-7799160	8086357-2-3637221	5468747-4-1	7723065-3046772-6408416	2645079-3046772-9622757	9631906-3046772-1143998	932759-2-1	2962792-2-1	9384359-4-1
assemblage-856-509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-505-653	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	6	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	7	0	0	0	0	0	0	37	0	0	0	0	0	0	0	6	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	127	49	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	69	0	0	0	0	0	22
assemblage-859-499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-928-765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	6	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	16	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	20
assemblage-936-773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	16	0	0	17	140	35	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	115	0	0	0	0	0	26
assemblage-923-779	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	7	8	0	46	0	0	0	0	0	0	0	135	0	0	0	0	0	22
assemblage-877-553	5	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	114	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	11	0	103	0	0	0	0	0	21
assemblage-94-494	12	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	145	0	0	0	0	76	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	10	0	88	0	0	0	0	0	10
assemblage-870-655	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	108	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	14	0	114	0	0	0	0	0	23
assemblage-171-84	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	133	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	35	14	0	0	0	0	0	0	0	158	0	0	0	0	0	22
