Assemblage_Name	4-1-4354783	4-2155655-1	4-1-4590315	3969811-1-1	3-4-4562238	4-3757640-1	4-1-4	4-1-1	4-9267671-1	6060709-3535929-1	7998063-2-2	7279130-1-4809230	4-1-8611296	6481165-1-1	4-1-1193822	4-1537228-1	495536-1-1	6060709-1-1	3-1-0	4-1-6874504	5440078-1-1	0-2-2	5725945-1-1	9342397-1-1	4-4318745-1	4-1-8905774	4-1-1954752	4-1-8632513	4-7656763-1	4-2605795-1	2-1-1	9988552-1-1	4-1-2269865	3814254-1-1	4-1068184-1	7279130-1-1	7279130-5913661-1
assemblage-113-897	0	0	0	0	7	0	66	353	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	8	0	0	0	0	0	0	0	0	0	14
assemblage-821-647	0	0	0	0	89	0	161	237	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-827-631	0	0	0	0	82	0	140	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-339-716	0	0	0	0	87	0	9	202	0	39	0	0	0	0	0	0	0	10	98	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-606-504	0	0	0	0	87	0	8	222	0	46	0	0	0	0	0	0	0	8	72	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-377-697	0	0	0	0	152	0	103	122	0	0	0	0	0	0	0	0	0	11	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-604-735	0	0	0	0	119	0	0	350	0	0	0	0	0	0	0	0	0	0	6	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-581-731	0	0	0	0	81	0	0	385	0	0	0	0	0	0	0	0	0	0	3	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-932-998	0	0	0	0	10	0	0	372	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-817-130	0	0	0	0	21	0	0	464	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-458-410	0	0	0	0	8	0	0	409	0	0	0	0	0	24	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-758-647	0	0	0	0	13	0	0	464	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-251-956	0	0	0	0	0	0	0	459	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	6
assemblage-503-748	0	0	0	0	0	0	0	440	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	1
assemblage-234-940	0	0	0	0	0	0	0	438	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	4
assemblage-218-462	0	0	0	0	0	0	0	434	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	11
assemblage-226-489	0	0	0	0	0	0	0	320	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	43	1
assemblage-936-352	0	0	0	0	0	0	0	436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	6
assemblage-450-743	0	0	59	0	0	0	0	314	0	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	1
assemblage-323-684	0	0	31	0	0	0	0	336	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	13
assemblage-327-693	0	0	0	0	0	0	0	333	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	36	7
assemblage-421-842	41	0	0	0	0	0	0	363	0	0	0	0	0	0	0	0	3	0	41	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	13	2
assemblage-412-842	0	0	0	0	0	0	0	248	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	80	10
assemblage-362-487	0	0	17	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	75	0	0	0	0	0	0	0	164	2
assemblage-608-767	0	0	0	0	0	0	0	320	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	37	0
assemblage-262-640	0	0	0	0	0	0	0	278	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	59	2
assemblage-608-762	0	0	0	0	0	0	0	380	0	0	0	0	8	0	0	34	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	36	0
assemblage-566-457	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	81	0
assemblage-571-457	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	52	2
assemblage-243-162	0	0	0	20	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	168	4
