Assemblage_Name	1121054-2-7553360	2-3831231-6066799	1648505-2-3	2-3831231-1	3-1875062-3	8890288-4-3	2-3831231-6870994	3-4-7661042	1648505-2-9642867	3-4-6873173	3-1530638-3	3-8283874-3	70488-8826991-2	2210207-2310946-439010	3-4-7922926	2971152-2310946-3	3-6251175-3	2372483-3831231-6066799	2-4788935-1	1354107-8826991-2	3-9617976-6487202	3-4-9383781	9813291-4-5078703	3-4-1322053	5090034-4-5078703	3-8448036-8245918	3-4-8024699	1648505-7476898-9642867	1390529-2-3	70488-8826991-3773729	1648505-9280978-9642867	3-2310946-2026307	1040494-4-5078703	70488-8826991-5904512	3-4-2640388	70488-8826991-8478709	3-4-8745632	3-4767061-5078703	2-3831231-778874	7272206-4-3	3-4-9765003	3-4-6857217	7905408-3831231-1	3-1496852-5078703	4-2-7479494	3-2310946-439010	3-4097895-3	9126336-4-3	6924802-0-1	2785031-4-3	3-8330422-3	7021052-2-3	9685519-0-1	3-8283099-3	2-0-1	4-2505884-3	4911187-4-3	4-3614544-3	2-6414337-1	1648505-3036010-9642867	4-4-3	3-9776240-3	3-7510991-5078703	4-2-5886067	4-2-3	6519692-3-4	3-4-8245918	1121054-2-3	3-2310946-3442013	70488-6710138-2	2971152-2310946-8776147	3-4-4415657	2-3518519-1	3-4256745-5078703	3-1372855-3	8312868-4-3	8163049-4-5078703	70488-9687194-2	661169-2-3	7021052-2-8756387	644341-2310946-3	4062726-0-1	4-4-7967721	3-4-3	2-3831231-1183754	3-9859164-5078703	3-4-5078703	3-9841949-3	3-5782642-5078703	3-4-6278213	3-4-8198423	7833379-8826991-2	3-2310946-3	70488-1-2	1648505-7057069-3	3-4-5982823	70488-8826991-7144791	795317-2310946-3
assemblage-113-897	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	314	0	0	0	0	0	2	0	0	0	0	53	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	14	0	0	0	5
assemblage-111-900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	310	0	0	0	0	0	4	0	0	0	0	64	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	16	0	0	0	5
assemblage-239-733	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	12	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	9	0	0	0	9
assemblage-636-922	0	0	0	46	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	3	0	0	0	29	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-377-697	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	40	0	0	0	14	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	29	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-361-733	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	44	0	0	0	11	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	21	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-914-974	0	0	11	0	23	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	11	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-748-479	0	0	0	98	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	145	8	0	0	0	0	0	0	25	0	0	0	0	0	8	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-729-1006	0	0	0	102	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	7	0	0	0	0	0	142	15	0	0	0	0	0	0	20	0	0	0	0	0	10	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-858-890	0	0	7	8	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	26	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	10
