Assemblage_Name	5859407-2-1	4-1522904-9127563	1-5202437-1	8470839-4-4911200	6639865-4-5545930	1-2-8142079	8470839-9066-8446149	4-1-4192814	1-7443731-1	3-1-1	4-1-5607962	1-373376-1	1-3555727-1	5404872-3273454-1	9352348-2-1	8470839-9066-214048	1-2-5898751	6434772-4-5545930	5097737-1-0	1-2-9997392	5572269-1-9127563	4-5964442-0	4-1-7141881	4-1-2530288	4689595-5964442-0	1-2-1233274	1-2266355-1356529	2601072-4-5545930	1-1709786-1	8470839-8255887-8446149	1938968-7007919-8446149	1-270860-5058094	4-1-2872425	4-1072082-9127563	9366057-748261-5545930	9366057-4-4244659	5081925-2-1	6319988-270860-5058094	8470839-3934659-1	4-1-6374654	8470839-7007919-5761673	1-758717-1	1-270860-7623627	1-2-1	1-3273454-1	8470839-4-1	6696075-1709786-1	1-270860-1	8470839-4-8109572	8470839-4-8446149	8470839-5992271-8446149	371067-4-1	8470839-3934659-950342	1-2-7239404	1-487008-1356529	6219674-1-0	1-8202966-1	9366057-4-5545930	1-2-5691969	9366057-4-4211004	3219886-1-0	4-1-7604671	1851844-1-9127563	6745090-6521803-175794	1-2-9781135	1-885179-5635476	6745090-6521803-0	4-4-5545930	4365327-2021879-9569228	8470839-4-86143	1-1709786-1116446	1-2-7009077	2345750-1-0	3-1-2722241	9366057-4339430-5545930	4-1-0	4-5121295-0	1-2266355-4242189	2735623-4-1	3-1-2524035	8470839-4-4405760	8470839-7007919-8446149	2105436-2-1	8681449-2-1	1223388-2-1	4-4-1320014	3803398-1-9127563	8470839-7007919-3833955	1-2-5436396	9159980-270860-1	2503215-1-0	4-1-4761217	3415150-270860-1	1-3378704-1	4-4-1	4-1-2291002	1-3826174-1	1924013-1-0	6745090-2-0	1-270860-721017	4-1-9127563	8470839-9921509-8446149
assemblage-250-731	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	6	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	16	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	123	0	0	9
assemblage-747-590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	90	12
assemblage-96-896	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	43	0	13	0	0	0	36	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	77	0	0	21
assemblage-759-483	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	14	0	0	0	0	172	0	0	0	0	0	19	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	27	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	20
assemblage-677-301	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	18	0	32	0	0	0	85	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	36	0	0	0	23	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	12
assemblage-700-275	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	103	0	0	0	0	6	38	0	0	0	0	0	0	0	64	0	0	0	0	0	43	0	0	4	0	0	8	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	83	0	0	14
assemblage-240-941	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	73	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	24	0	99	30
assemblage-467-749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	34
assemblage-636-922	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	23	0	39	0	0	0	79	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	33	0	0	4	17	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	15
assemblage-678-943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	11	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	8
